title,lyric,album,like
"
				낙화
			","아련히 피워낸 열
눈부신 다짐도
꽃이 지듯 시들어가겠지

아름답단 말처럼
내 모습 이대로
심어둔 우리를
기억하겠다 해줘

난 새하얀 눈이 돼 어딘가로 흩어질 거야
그 장면 안에도
네가 미소 짓기를

바람아 네가 보여준 이 세상은
꽃잎들이 모여 세상을 밝히더라

시간 따라 다다른 이 순간은
작은 티끌 하나 하나라도 없었다면
보지 못했을 이야기

'피다'의 반대말은 '지다'가 아냐

너를 봐봐
얼마나 예쁜지

난 아지랑이 속에
뛰놀던 우리를 본 것만 같아

선잠의 꿈이라도
이유가 되니까
네가

바람아 네가 보여준 이 세상은
꽃잎들이 모여 세상을 밝히더라

시간 따라 다다른 이 순간을
기억해 낼 거야 분명

난 나는 게 아닌
그저 떨어지던 걸지도 몰라

언젠가 너 앞에
또 다시 피울게

바람이 내게 보여준 이 세상은
반딧불이 모여 꽃잎이 돼 주더라

시간 따라 다다른 이 따스함은
놓지 않을 기억, 그날에 너와 나

시작의 해로
다시 돌아간대도
몇천 번이라도 같은 길을 걸어가리

우릴 함께 날아오르게 해줬던
나의 봄바람아
다시 만나게 되면
또 어디론가 데려가 줘",FROM.,273
"
				놀이
			","멀어져 가는 꿈의 잔상처럼
지난 내 하루의 표정이 기억이 안 나
멋대로 밀려오는 생각이
날 괴롭혀 또 다그쳐
어린 날 훔쳐본
어른의 모습은
내게 환상이라 말하고
무감각해진 시곗바늘
난 그대로인 듯이
어린애로 남아 있나 봐
하늘이 무겁다 해도
까진 무릎이 아팠던 것도 모른 채
온 세상을 날아 모든 걸 놀이 하듯이
지금도 똑같아 다를 거 없어
많은 사람들 사이를 안 닿고 지나기
남모르게 은밀히 자리에 앉기
맨 먼저 퇴근한 사람이 술래인 거야
꼭 말해줘 다시 만나 또 놀자고
환하게 웃으며 얘기하는 사람
뒤돌아 떠나도 미소를 머금고 있기를 바라도
스치는 혜성처럼
찰나인 듯한 아름다움
하늘이 무겁다 해도
까진 무릎이 아팠던 것도 모른 채
온 세상을 날아 모든 걸 놀이 하듯이
지금도 똑같아 다를 거 없어
많은 사람들 사이를 안 닿고 지나기
남모르게 은밀히 자리에 앉기
맨 먼저 퇴근한 사람이 술래인 거야
꼭 말해줘 다시 만나
무궁화에
꽃이 피고
돌아보면
다 그대로 멈춰라
더 이상은
떠나가지 말아줘
멈춰서 줘
다시 찾을게
우리가 떠나온 그날들을
넌 웃어줘 함께 놀던 그날처럼",Childhood,953
"
				떼굴떼굴
			","이젠 머리가 어지러워
어느새 해는 져 있고
난 오늘이 무슨 요일인지도
모르고 사나 봐
어질러진 방은
치울 엄두조차 나질 않고
침대 위에 누워
얼마나 잘 수 있나 생각해
내일이 오길 기다리던 난
이리저리 부딪히며
마음대로 무엇 하나 되지 않는 하룰
견뎌내고 있잖아
다시 하루는 시작되고
숨 쉴 틈 없이 세상은 돌아만 가
하루 종일 모두 떼굴떼굴 굴러
이대론 안 될 것만 같아
내일을 그리던 그때로 뒤로 Back
눈만 깜빡였을 뿐인데
온데간데없어진 달
기지갤 피고 하품할 시간
조차 부족한데
부대낀 사람들
어딜 봐도 여유는 하나 없고
시곗바늘에 쫓겨
뭔가에 홀린 듯한 발걸음
내일이 오길 기대하던 넌
이리저리 부딪히며
마음대로 무엇 하나 되지 않는 하룰
견뎌내고 있잖아
다시 하루는 시작되고
숨 쉴 틈 없이 세상은 돌아만 가
하루 종일 모두 떼굴떼굴 굴러
이대론 안 될 것만 같아
내일을 그리던 그때로 뒤로 Back
뒤돌아봐 생각보다
날이 좋았는데
얼마나 많이 놓쳤을까
무감각함에 잠긴 것 같아
여행 가고 싶어
꿈을 꾸고 싶어
하늘을 보고 싶어
닫힌 내 마음을 움직이게 해준 바람
아침 햇살에 눈이 부셔
포근한 구름 위를 뒹구는 기분
너도 나도 이젠 하루하루 달라
내일은 어떤 날이 올까
우릴 위해 있는 거야 이 모든 게",BLUE,"1,048"
"
				날씨가 미쳤어
			","음 오늘은 바람이 적당해 만나자
햇살은 안 뜨겁고 거리엔
사람들도 적당해

저기 SNS에서 봤던 카페
가보고 싶어 했었던 너
사진이 잘 나오는
창가 자리를 봐두었어
근데 넌 어디서 찍어도 예뻐

겉옷은 챙겨와 밤에는 추워
뭐 안 챙겨오면 더 좋아
내가 안아줄까
아 너무 빠른가 그럼 내꺼 주지 뭐
너무 들떴나 날씨가 좋아서 그래

다음 주 평일에는 눈치게임해서
우리 꿈과 희망의 나라로 갈래
달빛은 설레고 하늘에
별들도 따다 주고 싶어

유치하고 뻔한 말이면 어때
정말 좋아하면 원래 그런 거래
너무 일찍은 가지 말자
추억이 잘 나오는 하루가 될 것 같아
거기가 그렇게 야경이 예쁘대

겉옷은 챙겨와 밤에는 추워
뭐 안 챙겨오면 더 좋아
내가 안아줄까
아 너무 빠른가 그럼 내꺼 주지 뭐
너무 들떴나 날씨가 좋아서 그래

갑자기 전화해서 또 불러낼지 몰라
근데 있잖아
날씨가 미쳤어 빨리 나와봐
아이스크림이 두 개야
널 보내기 아쉬웠던 집 앞 벤치야

날씨가 미쳤나 내 마음이 미쳤나
아니면 둘 다 미쳤나
저기서 걸어오는 너를 보니까
알겠어 내 마음이 미쳤네
너무 들떴나 날씨가 좋아서
아니 사실 네가 좋아서 그래",날씨가 미쳤어 (Our Pie X LUCY),271
"
				결국 아무것도 알 수 없었지만
			","검은 머리가 파뿌리 되도록
기나긴 시간 쭉 함께하자고
하루하루를 함께 그려냈지
영원할 것처럼
고된 하루도 힘들진 않았어
네가 웃으면 다 괜찮아져서
매일 그날의 장면을 되감아
여기 나 홀로 남아
영화 속에 열린 결말처럼
영원할 순 없나 봐
어디서부터 어긋나 버린 걸까
난 여기 있는데
너와 나의 사랑
그 뒷이야기를
결국 아무것도 알 수 없었지만
널 사랑한 시간마저
낡은 테이프처럼
바래져 잊혀지는 거 그것만은 싫어
가고 싶은 곳 해보고 싶은 것
너와 약속한 그 모든 것들이
사라져 아득히
이젠 붙잡을 수 없을 만큼 점점 멀어져 가
못다 한 말들이 너무 많아
쉽게 널 못 잊나 봐
텅 빈 거리에서마저 너가 보여
가슴이 아려와
너와 나의 사랑
그 뒷이야기를
결국 아무것도 알 수 없었지만
널 사랑한 시간마저
낡은 테이프처럼
점점 잊혀져가는데
너가 없는 내 삶엔
아무런 내용도 없는데
이대로 난
멈춰버린 시간
우리의 이야기
여기서 끝이라곤 생각하기 싫어
그 뒤를 이어 보려 해
같은 맘이라면
긴 여행을 다 끝난 뒤에 봐
예전처럼 문을 열고 달려와서
내 품에 안긴 채로 꼭 말해줘
다녀왔어",BLUE,816
"
				MP3
			","항상 나란히 너와 나
손에 닿은 바람
기억할까 작은 MP3
매번 애석한 줄들은 둘둘 엉켜있고
늘 한쪽을 건네주던 너
겨우 10곡 반복되며 같이 흥얼대다
바람이 줄을 데려가 흔들면
혹시 빠지진 않을까 더욱 가까이 붙어
네게 맞춰 걷던 나
난 너의 세상을 함께 듣고 싶어
네 눈에 담은 걸 같이 보고 싶어
너의 맘 깊은 곳 작은 감정 하나도
내게 모두 다 전해지기를
어느새 시간은 지나 모두 흐려지고
어디론가 숨은 MP3
이젠 이어질 줄조차 없는 세상이라
그때 널 그리워하나 봐
너무 오래돼 바래진 기억 저 너머에
그때 그 노래가 입을 맞추면
우리 반씩 나눠 들었던 모든 추억들이
두 귀로 쏟아내려
난 너의 세상을 함께 듣고 싶어
네 눈에 담은 걸 같이 보고 싶어
너의 맘 깊은 곳 작은 감정 하나도
내게 모두 다 전해지기를",Childhood,608
"
				Opening
			","밤하늘에 수놓은 별자리를 따라
잊고 있던 날 찾아갈 거야
미약했던 시작의 우린 평범에 가린 채
숨어있는 보물을 찾으려던 아이들
모두가 또 다른 얼굴 또 다른 길을
걸어왔지만
앞으로 바라볼 방향은 같던 우리들
발을 굴러
박힌 닻을 올려
접힌 돛을 펼쳐
돌이 가로막아도
소릴 높여
바람을 가르며
저 너머로
때론 지쳐 주저앉겠지만
결코 포기하지 않아
봐 저 반짝이는 날들을
밤하늘에 수놓은 별자리를 따라
우린 잊고 있던 보물을 찾아낼 거야
아니라고 그런 건 없다며 막아서도
함께라면 기억해 낼 수 있어
약속해 어둠이 드리워도 떨쳐내기로
우리 이야기의 주인공은 우리니까
발을 굴러
박힌 닻을 올려
접힌 돛을 펼쳐
돌이 가로 막아도
소릴 높여
바람을 가르며
저 너머로
때론 지쳐 주저앉겠지만
결코 포기하지 않아
봐 저 반짝이는 날들을
밤하늘에 수놓은 별자리를 따라
우린 잊고 있던 보물을 찾아낼 거야
아니라고 그런 건 없다며 막아서도
함께라면 기억해 낼 거야
우리가 남긴 발자국들이 모여
길을 만들고 안개를 비출 지도가 되었지
이제 시작이야 우리의 이야기
쓰여진 것보다 더 먼 미래가
여명으로 밝게 비춰질테니
어디선가 들리는 내 목소릴 따라
숨겨왔던 꿈을 반드시 찾고 말 거야
거친 파도 뒤에 뜨는 태양 저 하늘이
우릴 반겨",Childhood,547
"
				내버려
			","분한 기억 날 깨우고
불탄 맘에 잠 올 리가 없고
후회스런 내 모습이 눈앞에 부글부글
아른아른거려
귀에 딱지가 앉도록 들어댄
신비한 어른들의 마음가짐
모두 고마워
즐거움은 영원하지 않아
이 고통도 그럼 얼마 가지 않을 테니
비록
누군가 쓰던 삶
새겨들어야 하는 말
길을 가르쳐 주는 손의 방향이
피와 살이 되어
나를 일으켜 준대도
발목을 잡음 안 되잖아
차라리 날 태우게
내버려 둬
터지게 둬
유일한 지금일 테니
처음 온 길이라 넘어진 걸 어쩌라고
피땀으로
눈물로 채운 게
미련하다고?
웃기지 좀 말고 빛나는 우릴 지켜나 봐
누군가 쓰던 삶
새겨들어야 하는 말
길을 가르쳐 주는 손의 방향이
피와 살이 되어
나를 일으켜 준대도
발목을 잡음 안 되잖아
차라리 날 태우게
내버려 둬
터지게 둬
유일한 지금일 테니
처음 온 길이라 넘어진 걸 어쩌라고
피땀으로
눈물로 채운 게
미련하다고?
웃기지 좀 말고 빛나는 우릴
믿어
아는 듯이 쉬운 듯이
정답이라 말하지마
나도 끝까지 놓지는 않을 테니
포기 안 해 상처는 결국 아물 테니까
내버려 둬
터지게 둬
유일한 지금일 테니
처음 온 길이라 넘어진 걸 어쩌라고
피땀으로
눈물로 채운 게
미련하다고?
웃기지 좀 말고 빛나는 우릴 지켜나 봐",열,307
"
				Boogie Man
			","이런 날엔 부기맨이 찾아와 나를 잡아간대
깊고 어두운 옷장 속에

머리카락 보일라
꼭 숨어라
이불 속 떠는 게
다 보이네

삐져나온 그 발목은
끌고 가라는 거지?
잘 먹겠습니

닫아 눈구멍도 없게
막아 네 뒤에 있는데
가려 두 눈 가려도 여기엔

우리 단둘이

이제 더는 싫어
그만
일어나 본 거울엔

굳어버린 다리 시퍼렇게 질린 얼굴 뒤로
가까이 손이 Oh

이런 날엔 부기맨이 찾아와 나를 잡아간대
깊고 어두운 옷장 속에 스르르르

그래 날 데려가 줘
차라리 너와 저 너머로 도망칠래
그럼 나도 부기맨

슬금슬금슬금
날 조여오는
혼자만 남겨진
외로운 밤

유령들로 북적이는 따스한 유령선이
차라리 낫겠어

새빨간 열매와
까맣게 팔 벌린 나무
날 보고 웃기만 해 왜
아무 말이나 좀

이런 날엔 부기맨이 찾아와 나를 잡아간대
깊고 어두운 옷장 속에 스르르르

그래 날 데려가 줘
차라리 너와 저 너머로 도망칠래
그럼 나도 부기맨

왔다 갔다 아래 위로
대롱대롱 매달린 채

이도 저도 못하면서
서성이는 게

마치
여기 저기 피하면서
떨고 있는 걸로 보여

너도 혹시 내가 무서워?

내일 밤엔 부기맨이랑 같이 널 잡으러 갈게
깊고 어두운 옷장 속에 스르르르

그래 내 손 잡아줘
차라리 나와 저 너머로 도망칠래? 
그럼 너도 부기맨",Boogie Man,274
"
				못난이
			","저 거울은 할 일도 없나 봐
하필 왜 지금 날 비춰

나라도 이런 난 별로니까
찡그려도 괜찮아

난 이대로
달아나도 뭐 So So
내 맘은 No Oh Oh
아 진짜 왜 이래

괜한 기대하게 만들지마
어지러워 너 때문에

처음부터 뭔가 이상했어
너에겐 듣고 싶은 말이 많아져

쓸데없이
Warning! Warning!

똑바로 뜨고 봐봐
나를 하나 하나

반할 게 없잖아
이러다간 나라도
집에 있는 거울을 모두 뿌셔놔야 하나

못난이난이난이
못난이난이난이
못난이가 내겐 딱 어울려

그래!
다 Lie Lie 내가 한두 번 속냐
가시 돋친 바보 이게 나다
Bye Bye 근데 왜 자꾸 돌아봐

보면 볼수록 짜증이나
머리 발 끝까지

아 이거 왜 이래

왜 아무리 손 봐도
내 맘대로는 안될까?

아 분명 저번에 본 SNS 트렌디 룩
따라 해본 건데 왜 별로지

넌 내 모습 그대로
좋아한다고
말도 안 돼!

Warning! Warning!

똑바로 뜨고 봐봐
나를 하나 하나

반할 게 없잖아
이러다간 나라도
집에 있는 거울을 모두 뿌셔놔야 하나

못난이난이난이
못난이난이난이
못난이가 내겐 딱 어울려

그래!
다 Lie Lie 내가 한두 번 속냐
가시 돋친 바보 이게 나다
난 마음도 검은 못난이

아니야 너에게 난 안 어울려
나를 보고 괜히 미안하나 봐

비상! 비상!

계속 그렇게만
그 눈으로 나만

바라본다 해줘
나는 그럼 아마도
집에 있는 거울을 모두 사랑하게 될 거야

못난아난아난아
못난아난아난아
이젠 더는 안 못나도 돼

그래!
다 Lie Lie 이젠 난 못난이 아냐
향기 좋은 꽃 이게 나다
Bye Bye 나를 보고 찡그리던 나",FROM.,128
"
				Run To You
			","알 수 없는 그 어디에서
길을 잃고 헤매일 때
혼자라는 게 난 외로워
누군가를 기다릴 때
나를 닮은 길을 잃은 또 한 사람
우연히 너를 만나
그 순간에 잠든 나의 하늘에
눈을 뜨는 너라는 별
지금 Run To You
니가 있는 그곳으로 난 달려가
그래 I Need You
널 처음 만난 그날부터 내 모든 건 너야
아무 의미 없는 하루 끝에 서서
내일은 오지 않길
그 순간에 어두운 나의 세상에
빛을 내는 너라는 꿈
지금 Run To You
니가 있는 그곳으로 난 달려가
그래 I Need You
널 처음 만난 그날부터 내 모든 건 너야
끝이 보이지 않아
멈추고 눈을 감았던 그때
정해진 우연이면 운명인 것처럼
내 앞에 나타난 너
다시 Run To You
쉬지 않고 빛을 따라 난 달려가
오직 I Need You
내 손을 잡은 그날부터 내 모든 건 너야",Run To You (런 온 OST Part.1),755
"
				넌 혹시, 난 괜히
			","야 그거 사실 내가 그랬어
아니 그냥 괜히 심술이 나서
네가 걔랑 얘기하면서
머리 넘기는 게 짜증 나게 예뻐서
그전에도 네 거 사실 내가 숨겼어
빨리 가버리지 않았음 해서
그날따라 날이 좋아서
평소보다 네가 더 반짝거려서
그런 거야 미안
괜히 네겐 틱틱거리게 되고
맘에 없는 말 하곤
집에 가서 머리 쥐어뜯어 혼자
잘해주지는 못할망정 괜히
괴롭히기나 하는 내가 싫어
그러니까 오늘부터
다른 애들 말고 나랑 집에 가면 안 될까?
네가 뭔가 어려워하고 있으면
그게 뭐가 됐든 내가 도와주면 안 될까?
그러니까
내가 하고 싶은 말은 뭐 특별한 건 아니고
그동안 못살게 군 거 사실 다 내가 그랬어
너랑 더 놀고 싶은데 너는 내 것이 아니고
걔 앞에선 네 얼굴이 발그레한 게
맘에 안 들어서 괜히
널 안 좋아하는 척했어
아 그래 기왕 이렇게 된 거
전부 다 싹 터놓고 얘기하자면
나는 아마도 널 처음 봤던 그날부터
널 좋아했던 것 같아
네가 자꾸 팔랑거리고 찰랑거리고
여기저기서 반짝반짝거려서
나는 두근두근거리고 자꾸만 널 찾아다니게 돼
근데 막상 네 앞에 서면 완전 고장이 나
괜히 네게 틱틱거리게 되고
맘에 없는 말 하곤
집에 가서 이불 겁나 차 뻥뻥
잘해주지는 못할망정 괜히
상처 주기나 하는 내가 싫어
그러니까 오늘부터
다른 애들 말고 나랑 집에 가면 안 될까?
네가 뭔가 어려워하고 있으면
그게 뭐가 됐든 내가 도와주면 안 될까?
내가 누굴 좋아해 보는 게 처음이라
뭘 어떻게 얘기하고 행동해야 되는지를
하나도 몰라
그러려던 건 아닌데 상처받았다면 미안해
근데 내가 너를 진짜 정말 좋아하거든
그러니까 오늘부터
네가 내 거하고 내가 네 거 하면 안 될까?
네가 뭔가 곤란해하고 있으면
그게 뭐가 됐든 내가 해주면 안 될까?
그러니까
내가 하고 싶은 말은 뭐 특별한 건 아니고
그날 거기에 넣어놓은 거 그것도 내가 그랬어
알아챘음 좋겠는데 너는 다른 앤 줄 알고
걔한테 고맙다길래 이대론 널 뺏길 것 같아서
그동안 사실 다 내가 그랬어",Childhood,415
"
				뜨거
			","분명 더위가 가실 거야 아마
한여름이 추워
(엣취)
넌 어디 간 거야
나 빼고
나도 손부채질하며
걱정해 주고 싶어
아이스크림 들고서
태양빛을 피해 어딘가
Run to the 에어컨
It's only for you
하려 해도
내 머리 위에 김이 펄펄
솟잖아
어딘가의 오아시스
물 한 트럭은 필요해
널 찾아 나가고 싶어도
과열돼 나 쓰러져
너무 뜨거워 디겠어
불타더라도 놀랄게 없는 햇빛
그 아래서 찍은 사진 속 너가
아름다워
분명 라일락 꽃향기에
녹은 기분인데
내 주변엔 모래만 가득한걸
뭐야 뭐야 (오 예예)
화면 넘어라도 널 보면 시원해지는데
사랑인가 봐
내 맘이 너의 세계로 가득
채워져 한 여름의 꿈처럼
짜증
은 아니고 아쉬움인가 봐
내 머리 위에 김이 펄펄
솟잖아
어딘가의 오아시스
물 한 트럭은 필요해
널 찾아 나가고 싶어도
과열돼 나 쓰러져
너무 뜨거워 디겠어
불타더라도 놀랄게 없는 햇빛
그 아래서 찍은 사진 속 너가
숨이 막혀
분명 라일락 꽃향기에
녹은 기분인데
내 주변엔 모래만 가득한걸
뭐야 뭐야 (오 예예)
화면 넘어라도 널 보면 시원해지는데
사랑인가 봐
내 맘이 너의 세계로 가득
채워져 한 여름의 꿈처럼
아마 너 앞에 서 있는 난
파도에 휩쓸려
숨 쉬는 법도 잊은 채 신나서
풍덩 풍덩 (오 예예)
더윌 넘어서 너에게로
달려가고 싶어
나도 네 곁에 시원한 바람이 되어줄래
너에게 한여름의 꿈처럼",열,243
"
				이미 다 알고 있었지만
			","젖은 바닥이 언제 그랬냐는 듯 말라
풀잎이 향을 채우고
이슬 섞인 듯 햇빛이 내 눈을 감기고
그댈 놓쳐서 헤매던 날
둘이 사라져가는 노을을 보며
분명 옆에 있는데도
혼자인 것 같아
우리의 시간 추억 다 보내야 한다는 건
난 이미 다 알고 있었지만
그냥 한 번만 한순간 망설여도 될까요
마지막 한 번 더
그댈 보고 싶어
이 계절은 의연히 기억을 깨우고
곧 다가올 이별을 더 피하게 해
내가 싫어도
네가 놔버리면
다 의미 없는걸
저 파란 하늘도
눈에 띄게 멀어지는
노을빛이
나만 여기 두고서
널 데려가나 봐
우리의 시간 추억 다 보내야 한다는 건
난 이미 다 알고 있었지만
그냥 한 번만 한순간 망설여도 될까요
마지막 한 번 더
그댈 보고 싶어
어떻게
그렇게
아무렇지 않아요
이대로
내가 사라져도
아무렇지 않나요
언젠가
가야 한다 해도
마지막처럼
얘기하지 마
우리의 사랑
기억 다 보내야 한단 건
난 이미 다 알고 있었지만
그냥 한 번만 딱 한 번만 더
안아봐도 될까요
그런 표정으로 슬퍼하지 말아요
다시 돌아올 그날까지
그리곤 말할 게
어서 와요",Childhood,383
"
				도깨비춤
			","도깨비 하나 새빨간 다정한 춤
도깨비 하나 새파란 자상한 춤
도깨비 하나 샛노란 미련한 춤
도깨비 춤에 쇠를 녹여보세

에라이 막춤이라도 추자
밤빛을 덮어두면
비단을 닮았는지 전과 달리

따스한 눈빛
그렇게 나를 봐주더라고
기쁘게도

사실은 이질적인 느낌이 좀 든대도
애써 외면 하고 마주친 너의 그
표정은 헷갈리지만 아마도

놀아줄 거야 오래도록

가려둔 너의 그 반이
실제론 차가웠다 해도

이 옅은 불 위에
무아지경인 나를
알다가도 모르겠단 태도로

쳐다보기만 하고 다 이럴 거야?

일동 차렷
이건 좀 아닌가?

힘껏 질러도 환호 하나 없이
말해봤자 뭐해 걍 나라도

마지못해 이렇게도 햇살이 밝아져 오는 낮에
모두가 떠나도 나 혼자 태운 잿더미가
나를 갉아먹고 있단 걸 알면서도

사실은 이질적인 느낌이 좀 든대도
애써 외면하고 마주친 너의 그
표정은 헷갈리지만 아마도

놀아줄 거야 오래도록

가려둔 너의 그 반이
실제론 차가웠다 해도

이 옅은 불 위에
무아지경인 나를
알다가도 모르겠단 태도로

쳐다보기만 하고 다 이럴 거야?

일동 차렷
이건 좀 아닌가?

힘껏 질러도 환호 하나 없이

마구마구 내 춤사윌
보다 보면 이땐가 하고

와라 와라 굳이 안 해도
놀아주러 올 거야

맞아 분명

새빨간 도깨빈 다정해요
새파란 도깨빈 자상해요
샛노란 난 그런 거 모르겠고
걍 추는 거지 뭐

그 마음이 실제로
따스했다 해도

이 옅은 불 위에
무아지경인 나를
알다가도 모르겠단 태도로

쳐다보기만 하고 다 이럴 거야?

일동 차렷
이건 좀 아닌가?

힘껏 질러도 환호 하나 없이
말해봤자 뭐해 걍 나라도",FROM.,91
"
				남김없이
			","나의 마음을 모두 잃어버린 날
그날의 마음은 얼어 붙어있어서
시간이 갈수록 차갑게 스며들던
다시 살아내야 했던 많은 날들은

남김없이 태울 수 있다면
그렇게도 나를 힘들게 했던
꺼져가는 작은 불씨라도 살아있다면
모든 걸 태울 텐데

나의 모든 순간도 해졌던 내 마음도
이젠 모두 사라져 다시 피워내자고
남김없이 태워 다시 한번 태워
다시 다시 살아갈 수 있도록

남김없이 태워버린다고
그렇게도 나를 힘들게 했던
그 모든 게 꺼진 연기처럼 사라진다면
하얗게 번질 테니

나의 모든 순간도 해졌던 내 마음도
이젠 모두 사라져 다시 피워내자고
남김없이 태워 다시 한번 태워
다시 다시 살아갈 수 있도록

남김없이 태워버린 후에
따뜻하게 너를 안을 수 있길

나의 모든 순간도 해졌던 내 마음도
이젠 모두 사라져 다시 피워내자고
남김없이 태워 다시 한번 태워
다시 다시 살아갈 수 있도록",FROM.,104
"
				I Got U
			","I got U 너를 잡을게
누가 먼저든 상관없잖아
I'll find U You're my Diamond
맘 가는 대로 어린애처럼 I got U
수많은 사람들 속
I'm locked into you
우린 어디 숨어있다
이제 만났는지
Take me to you close baby
내 맘이 Already over you
얼레리꼴레리
We go over
언제까지 숨길 수는 없는걸
널 찾을 수 있게
내게 다가와 주면 돼
I got U 너를 잡을게
누가 먼저든 상관없잖아
I'll find U You're my Diamond
맘 가는 대로 어린애처럼 I got U
별다른 말없이도 웃어주는 너
이대로면 우리 대화는 For 24 hours
I got U 너를 잡을게
누가 먼저든 상관없잖아
I'll find U You're my Diamond
맘 가는 대로 어린애처럼 I got U
오늘 이 밤 내 인생 최고의 밤 인진 몰라도
그대와 함께 한 이 순간 절대 잊지 못할 거야
두려워져 If you go away
난 꿈이라 해도 괜찮아
어딜 가든 I'll find you
I got U 너를 잡을게
누가 먼저든 상관없잖아
I'll find U You're my Diamond
맘 가는 대로 어린애처럼 I got U
세상이 끝나도 너와 나는
같이 놀 수 있을 거야
세상이 끝나도 오늘 하루는
절대 잊지 못할 거야",Gatcha!,591
"
				난로
			","차가운 바람 하나가 창가에 앉아
나에게 너의 얘기를 들려주었어
유난히 추웠던 겨울 별빛 아래서
우리는 반짝였었지
저 별을 따라
차가운 바람 하나에 흔들리듯이
너에겐 작은 바램도 어려웠을까
유난히 추웠던 겨울 그믐달 아래
소중히 여긴 바램이 이루어질까
눈꽃이 떨어지면 거리는 밝아지고
우리는 그 속에서 춤을 추게 될 거야
불빛이 우릴 비추고 종소리가 들리면
우리는 이 겨울을 날아
남겨진 마음들도 지나버린 시간도
언젠가 흐려져만 간대도 괜찮을 거야
얼어붙은 꽃처럼 홀로인 날
따스하게 녹여주었던 너는
시간은 지나갔지만 아직도 나를
따스히 안아 주었던 너를 기억해
하얗게 내린 눈 위에 우리 얼굴을 그려
널 담아내 별이 내린 만큼
눈꽃이 떨어지면 거리는 밝아지고
우리는 그 속에서 춤을 추게 될 거야
불빛이 우릴 비추고 종소리가 들리면
우리는 이 겨울을 날아
남겨진 마음들도 지나버린 시간도
언젠가 흐려져만 간대도 괜찮을 거야
얼어붙은 꽃처럼 홀로인 날
따스하게 녹여준 너는
아름다웠던
그날에 시간에 그 순간에 머물러
나에게 같은 하루 같은 세상 속에
너라는 바람이 마음에 불어와
기다리던 날들도
바래왔던 순간도
어느새 우리 곁에 올 거야
시간을 넘어서
네 마음이 춥고 외로울 때
내게 그랬듯이
너를 혼자 두진 않을 거야",INSIDE,865
"
				Ending
			","봐 이렇게 환하게 웃는 얼굴
전혀 슬프다곤 하지 않아
모두가 이대로
다시 못 볼 것만 같아서
더 숨기나 봐
네게 안녕이란
말이 어떤 의미인지
잘 모르지만 우린
영원한 안녕이라
이대로 이별이라
아무도 생각하지 않아
오늘이 지나 네가 없는
내일이 찾아오면
분명 난 공허하고 외로울지 몰라
한없이 그리워
해도 괜찮아
다시 만날 걸 알아
그러니 우리 더 빛나자
이 순간이 영원할 것처럼
저 너머로 사라지는 너는
몇 번을 봐도 익숙해지질 않아
속으로 약속해
너희를 다시 만날 그때까지
기다릴 거라고
내게 안녕이란
마음에도 없는 소리
해버렸지만 사실
영원한 안녕이라
이대로 이별이란
의미가 아니란 걸 알아
조금만 더 들려주고 싶어
다른 말론 설명하지 못하는
우리만의 사랑을 담아
너를 부르게 해줘
불이 꺼지고 조용하게
모두 다 사라지면
분명 난 공허하고 외로울지 몰라
한없이 그리워
해도 괜찮아
다시 만날 걸 알아
그러니 우리 더 빛나자
이 순간이 영원할 것처럼",Childhood,329
"
				Straight Line
			","도로 위에 멈춰 있던 나
만날 일 없었던 우리
Like a parallel line
너와 내가 닿는다면 Yeah
Get it on the road
Get it on the way
이 길의 끝을 보러 가
Hey you Hey you
주저하고 두려운 거라면
Hey you
전혀 그럴 필요 없는 걸
쭉 뻗은 도로 위에 넌
Just drive in a straight line
열린 이 길을 봐
Just take your time it's all right
우린 어디로 떠나든지
Run hand in hand all day
끝에 뒤돌아보면
지나온 길은 선물이 될 거야
Just drive in a straight line
Just drive in a straight line
바람 한 점 불지 않는 바다 위에서
떠 있는 것만 같아 Oh
아무것도 아무 말도
필요 없는 너와 나
Hey you Hey you
주저하고 두려운 거라면
Hey you
전혀 그럴 필요 없는 걸
쭉 뻗은 도로 위에
Just drive in a straight line
열린 이 길을 봐
Just take your time it's all right
우린 어디로 떠나든지
Run hand in hand all day
끝에 뒤돌아보면
지나온 길은 선물이 될 거야
Just drive in a straight line
Just drive in a straight line
Hey you Hey you
Hey you Hey you
Just drive in a straight line
열린 이 길을 봐
Just take your time it's all right
우린 어디로 떠나든지
Run hand in hand all day
끝에 뒤돌아보면
지나온 길은 선물이 될 거야
Just drive in a straight line
Just drive in a straight line",PANORAMA,517
